id,cem301_attendees_total,cem009_country,month,year,country,cem005_today
,19,1,11,2014,1,13-Nov-14
,20,1,11,2014,1,17-Nov-14
,37,1,11,2014,1,15-Nov-14
,32,1,11,2014,1,16-Nov-14
,37,1,11,2014,1,16-Nov-14
,40,1,11,2014,1,26-Nov-14
,39,1,11,2014,1,16-Nov-14
,30,1,11,2014,1,12-Nov-14
,35,1,11,2014,1,12-Nov-14
,16,1,11,2014,1,13-Nov-14
,21,1,11,2014,1,13-Nov-14
,15,1,11,2014,1,10-Nov-14
,39,1,11,2014,1,10-Nov-14
,26,1,11,2014,1,09-Nov-14
,24,1,11,2014,1,09-Nov-14
,29,1,11,2014,1,09-Nov-14
,23,1,11,2014,1,09-Nov-14
,29,1,11,2014,1,09-Nov-14
,16,1,11,2014,1,09-Nov-14
,19,1,11,2014,1,27-Nov-14
,13,1,11,2014,1,14-Nov-14
,19,1,11,2014,1,13-Nov-14
,39,1,11,2014,1,13-Nov-14
,23,1,11,2014,1,18-Nov-14
,24,1,11,2014,1,16-Nov-14
,24,1,11,2014,1,16-Nov-14
,15,1,11,2014,1,16-Nov-14
,25,1,11,2014,1,13-Nov-14
,35,1,11,2014,1,10-Nov-14
,13,1,10,2014,1,29oct2014
,25,1,10,2014,1,28oct2014
,18,1,10,2014,1,29oct2014
,20,1,10,2014,1,29oct2014
,19,1,10,2014,1,31oct2014
,16,1,10,2014,1,30oct2014
,26,1,10,2014,1,30oct2014
,42,1,10,2014,1,30oct2014
,30,1,11,2014,1,27-Nov-14
,42,1,10,2014,1,31oct2014
,19,1,11,2014,1,02-Nov-14
,15,1,11,2014,1,10-Nov-14
,22,1,11,2014,1,02-Nov-14
,21,1,11,2014,1,10-Nov-14
,25,1,10,2014,1,28oct2014
,28,1,10,2014,1,28oct2014
,30,1,10,2014,1,28oct2014
,33,1,10,2014,1,28oct2014
,25,1,10,2014,1,30oct2014
,14,1,11,2014,1,06-Nov-14
,22,1,10,2014,1,31oct2014
,30,1,10,2014,1,30oct2014
,12,1,10,2014,1,30oct2014
,14,1,10,2014,1,30oct2014
,22,1,10,2014,1,30oct2014
,21,1,10,2014,1,27oct2014
,21,1,10,2014,1,28oct2014
,28,1,10,2014,1,30oct2014
,26,1,10,2014,1,28oct2014
,14,1,10,2014,1,27oct2014
,12,1,10,2014,1,27oct2014
,35,1,11,2014,1,16-Nov-14
,35,1,10,2014,1,31oct2014
,22,1,11,2014,1,16-Nov-14
,13,1,10,2014,1,30oct2014
,24,1,10,2014,1,29oct2014
,57,1,10,2014,1,30oct2014
,18,1,10,2014,1,30oct2014
,32,1,10,2014,1,29oct2014
,25,1,11,2014,1,25-Nov-14
,21,1,10,2014,1,29oct2014
,24,1,1,2015,1,12-Jan-15
,27,1,1,2015,1,12-Jan-15
,22,1,1,2015,1,12-Jan-15
,52,1,1,2015,1,12-Jan-15
,24,1,1,2015,1,12-Jan-15
,16,1,1,2015,1,12-Jan-15
,21,1,1,2015,1,09-Jan-15
,14,1,1,2015,1,09-Jan-15
,14,1,1,2015,1,13-Jan-15
,22,1,1,2015,1,13-Jan-15
,15,1,1,2015,1,12-Jan-15
,87,1,1,2015,1,13-Jan-15
,22,1,2,2015,1,17-Feb-15
,33,1,2,2015,1,17-Feb-15
,42,1,1,2015,1,14-Jan-15
,22,1,1,2015,1,14-Jan-15
,43,1,2,2015,1,17-Feb-15
,31,1,1,2015,1,14-Jan-15
,26,1,1,2015,1,14-Jan-15
,28,1,1,2015,1,16-Jan-15
,23,1,1,2015,1,16-Jan-15
,36,1,1,2015,1,16-Jan-15
,14,1,2,2015,1,17-Feb-15
,59,1,2,2015,1,17-Feb-15
,33,1,1,2015,1,15-Jan-15
,24,1,1,2015,1,18-Jan-15
,29,1,2,2015,1,17-Feb-15
,17,1,1,2015,1,15-Jan-15
,31,1,1,2015,1,15-Jan-15
,49,1,1,2015,1,15-Jan-15
,37,1,1,2015,1,15-Jan-15
,14,1,2,2015,1,17-Feb-15
,66,1,1,2015,1,18-Jan-15
,38,1,1,2015,1,18-Jan-15
,31,1,1,2015,1,18-Jan-15
,42,1,1,2015,1,16-Jan-15
,12,1,2,2015,1,17-Feb-15
,21,1,2,2015,1,19-Feb-15
,30,1,1,2015,1,29-Jan-15
,19,1,1,2015,1,29-Jan-15
,27,1,1,2015,1,28-Jan-15
,28,1,2,2015,1,01-Feb-15
,34,1,2,2015,1,09-Feb-15
,20,1,2,2015,1,01-Feb-15
,21,1,2,2015,1,01-Feb-15
,18,1,2,2015,1,10-Feb-15
,37,1,1,2015,1,29-Jan-15
,35,1,1,2015,1,29-Jan-15
,34,1,2,2015,1,09-Feb-15
,18,1,2,2015,1,09-Feb-15
,18,1,2,2015,1,10-Feb-15
,21,1,2,2015,1,09-Feb-15
,17,1,2,2015,1,09-Feb-15
,11,1,1,2015,1,29-Jan-15
,13,1,1,2015,1,29-Jan-15
,16,1,1,2015,1,11-Jan-15
,15,1,1,2015,1,12-Jan-15
,15,1,1,2015,1,18-Jan-15
,16,1,1,2015,1,14-Jan-15
,23,1,1,2015,1,14-Jan-15
,21,1,2,2015,1,17-Feb-15
,19,1,2,2015,1,17-Feb-15
,24,1,1,2015,1,14-Jan-15
,30,1,1,2015,1,12-Jan-15
,24,1,2,2015,1,17-Feb-15
,29,1,1,2015,1,13-Jan-15
,24,1,1,2015,1,13-Jan-15
,20,1,1,2015,1,13-Jan-15
,15,1,1,2015,1,09-Jan-15
,16,1,1,2015,1,09-Jan-15
,17,1,1,2015,1,13-Jan-15
,19,1,1,2015,1,09-Jan-15
,18,1,1,2015,1,09-Jan-15
,41,1,1,2015,1,18-Jan-15
,18,1,1,2015,1,18-Jan-15
,54,1,1,2015,1,13-Jan-15
,17,1,1,2015,1,24-Jan-15
,17,1,1,2015,1,26-Jan-15
,20,1,1,2015,1,23-Jan-15
,20,1,1,2015,1,26-Jan-15
,17,1,2,2015,1,09-Feb-15
,30,1,2,2015,1,09-Feb-15
,16,1,2,2015,1,06-Feb-15
,16,1,3,2015,1,08mar2015
,27,1,2,2015,1,17-Feb-15
,16,1,3,2015,1,08mar2015
,14,1,1,2015,1,26-Jan-15
,18,1,2,2015,1,10-Feb-15
,20,1,2,2015,1,11-Feb-15
,12,1,2,2015,1,11-Feb-15
,24,1,2,2015,1,17-Feb-15
,17,1,2,2015,1,10-Feb-15
,15,1,2,2015,1,19-Feb-15
,14,1,2,2015,1,17-Feb-15
,15,1,2,2015,1,17-Feb-15
,30,1,2,2015,1,17-Feb-15
,18,1,2,2015,1,22-Feb-15
,14,1,2,2015,1,17-Feb-15
,16,1,2,2015,1,17-Feb-15
,26,1,2,2015,1,17-Feb-15
,37,1,2,2015,1,17-Feb-15
,17,1,2,2015,1,17-Feb-15
,24,1,2,2015,1,17-Feb-15
,22,1,2,2015,1,22-Feb-15
,18,1,2,2015,1,10-Feb-15
,12,1,2,2015,1,17-Feb-15
,25,1,1,2015,1,26-Jan-15
,31,1,1,2015,1,25-Jan-15
,37,1,1,2015,1,23-Jan-15
,22,1,2,2015,1,09-Feb-15
,23,1,2,2015,1,03-Feb-15
,36,1,1,2015,1,25-Jan-15
,15,1,1,2015,1,20-Jan-15
,19,1,1,2015,1,21-Jan-15
,17,1,2,2015,1,17-Feb-15
,18,1,1,2015,1,24-Jan-15
,26,1,1,2015,1,24-Jan-15
,20,1,1,2015,1,26-Jan-15
,16,1,1,2015,1,21-Jan-15
,10,1,2,2015,1,10-Feb-15
,20,1,1,2015,1,23-Jan-15
,17,1,1,2015,1,26-Jan-15
,25,1,1,2015,1,26-Jan-15
,24,1,1,2015,1,23-Jan-15
,36,1,1,2015,1,25-Jan-15
,19,1,1,2015,1,23-Jan-15
,32,1,1,2015,1,26-Jan-15
,19,1,1,2015,1,26-Jan-15
,35,1,1,2015,1,20-Jan-15
,16,1,1,2015,1,19-Jan-15
,16,1,1,2015,1,19-Jan-15
,14,1,1,2015,1,20-Jan-15
,14,1,1,2015,1,20-Jan-15
,17,1,1,2015,1,20-Jan-15
,22,1,1,2015,1,19-Jan-15
,29,1,1,2015,1,19-Jan-15
,18,1,2,2015,1,18-Feb-15
,15,1,1,2015,1,20-Jan-15
,63,1,1,2015,1,17-Jan-15
,16,1,1,2015,1,20-Jan-15
,44,1,2,2015,1,17-Feb-15
,14,1,2,2015,1,19-Feb-15
,26,1,2,2015,1,17-Feb-15
,27,1,1,2015,1,30-Jan-15
,18,1,1,2015,1,30-Jan-15
,22,1,2,2015,1,01-Feb-15
,15,1,2,2015,1,01-Feb-15
,18,1,1,2015,1,30-Jan-15
,24,1,1,2015,1,30-Jan-15
,41,1,2,2015,1,03-Feb-15
,43,1,2,2015,1,17-Feb-15
,13,1,2,2015,1,09-Feb-15
,25,1,2,2015,1,09-Feb-15
,16,1,1,2015,1,13-Jan-15
,20,1,2,2015,1,17-Feb-15
,23,1,1,2015,1,19-Jan-15
,44,1,2,2015,1,17-Feb-15
,36,1,1,2015,1,13-Jan-15
,64,1,1,2015,1,13-Jan-15
,41,1,2,2015,1,17-Feb-15
,19,1,1,2015,1,12-Jan-15
,22,1,2,2015,1,17-Feb-15
,34,1,2,2015,1,17-Feb-15
,22,1,2,2015,1,01-Feb-15
,12,1,1,2015,1,26-Jan-15
,11,1,1,2015,1,29-Jan-15
,18,1,1,2015,1,29-Jan-15
,20,1,1,2015,1,28-Jan-15
,18,1,1,2015,1,28-Jan-15
,43,1,1,2015,1,26-Jan-15
,9,1,1,2015,1,26-Jan-15
,34,1,1,2015,1,26-Jan-15
,33,1,1,2015,1,28-Jan-15
,18,1,1,2015,1,28-Jan-15
,25,1,2,2015,1,03-Feb-15
,10,1,1,2015,1,26-Jan-15
,13,1,1,2015,1,26-Jan-15
,33,1,1,2015,1,26-Jan-15
,19,1,3,2015,1,08mar2015
,14,1,2,2015,1,09-Feb-15
,12,1,3,2015,1,08mar2015
,12,1,2,2015,1,09-Feb-15
,17,1,2,2015,1,10-Feb-15
,14,1,2,2015,1,09-Feb-15
,20,1,2,2015,1,17-Feb-15
,19,1,2,2015,1,17-Feb-15
,18,1,2,2015,1,17-Feb-15
,18,1,2,2015,1,10-Feb-15
,13,1,2,2015,1,06-Feb-15
,21,1,2,2015,1,07-Feb-15
,25,1,2,2015,1,06-Feb-15
,12,1,2,2015,1,17-Feb-15
,14,1,2,2015,1,06-Feb-15
,13,1,2,2015,1,06-Feb-15
,15,1,2,2015,1,17-Feb-15
,15,1,2,2015,1,17-Feb-15
,29,1,2,2015,1,01-Feb-15
,13,1,1,2015,1,21-Jan-15
,10,1,1,2015,1,21-Jan-15
,18,1,1,2015,1,22-Jan-15
,20,1,2,2015,1,19-Feb-15
,22,1,2,2015,1,17-Feb-15
,20,1,1,2015,1,24-Jan-15
,31,1,1,2015,1,24-Jan-15
,15,1,2,2015,1,17-Feb-15
,20,1,2,2015,1,17-Feb-15
,24,1,2,2015,1,17-Feb-15
,21,1,2,2015,1,01-Feb-15
,25,1,2,2015,1,01-Feb-15
,25,1,2,2015,1,19-Feb-15
,21,1,1,2015,1,18-Jan-15
,15,1,1,2015,1,15-Jan-15
,13,1,1,2015,1,15-Jan-15
,18,1,1,2015,1,18-Jan-15
,20,1,1,2015,1,16-Jan-15
,31,1,1,2015,1,28-Jan-15
,49,1,1,2015,1,28-Jan-15
,14,1,1,2015,1,18-Jan-15
,29,1,1,2015,1,18-Jan-15
,19,1,1,2015,1,19-Jan-15
,22,1,1,2015,1,24-Jan-15
,21,1,1,2015,1,24-Jan-15
,17,1,1,2015,1,19-Jan-15
,29,1,1,2015,1,16-Jan-15
,23,1,1,2015,1,18-Jan-15
,20,1,1,2015,1,16-Jan-15
,28,1,1,2015,1,16-Jan-15
,26,1,1,2015,1,16-Jan-15
,15,1,1,2015,1,18-Jan-15
,16,1,1,2015,1,16-Jan-15
,25,1,2,2015,1,03-Feb-15
,31,1,1,2015,1,18-Jan-15
,17,1,1,2015,1,18-Jan-15
,16,1,1,2015,1,15-Jan-15
,23,1,1,2015,1,15-Jan-15
,22,1,1,2015,1,16-Jan-15
,24,1,1,2015,1,15-Jan-15
,12,1,1,2015,1,16-Jan-15
,23,1,1,2015,1,16-Jan-15
,22,1,1,2015,1,15-Jan-15
,13,1,2,2015,1,07-Feb-15
,21,1,2,2015,1,07-Feb-15
,12,1,2,2015,1,04-Feb-15
,23,1,1,2015,1,18-Jan-15
,33,1,1,2015,1,18-Jan-15
,24,1,1,2015,1,15-Jan-15
,19,1,1,2015,1,15-Jan-15
,25,1,1,2015,1,20-Jan-15
,27,1,1,2015,1,28-Jan-15
,32,1,1,2015,1,18-Jan-15
,32,1,1,2015,1,18-Jan-15
,16,1,1,2015,1,18-Jan-15
,67,1,1,2015,1,13-Jan-15
,18,1,2,2015,1,07-Feb-15
,25,1,2,2015,1,06-Feb-15
,12,1,2,2015,1,06-Feb-15
,22,1,2,2015,1,06-Feb-15
,19,1,2,2015,1,18-Feb-15
,11,1,2,2015,1,18-Feb-15
,11,1,2,2015,1,06-Feb-15
,15,1,2,2015,1,09-Feb-15
,15,1,2,2015,1,09-Feb-15
,17,1,2,2015,1,09-Feb-15
,14,1,2,2015,1,09-Feb-15
,30,1,2,2015,1,08-Feb-15
,32,1,2,2015,1,06-Feb-15
,17,1,2,2015,1,06-Feb-15
,22,1,2,2015,1,17-Feb-15
,20,1,1,2015,1,14-Jan-15
,24,1,1,2015,1,14-Jan-15
,26,1,1,2015,1,15-Jan-15
,24,1,1,2015,1,15-Jan-15
,14,1,1,2015,1,15-Jan-15
,17,1,1,2015,1,15-Jan-15
,29,1,1,2015,1,15-Jan-15
,21,1,1,2015,1,14-Jan-15
,28,1,1,2015,1,14-Jan-15
,66,1,1,2015,1,16-Jan-15
,41,1,2,2015,1,09-Feb-15
,16,1,2,2015,1,11-Feb-15
,14,1,2,2015,1,09-Feb-15
,13,1,2,2015,1,17-Feb-15
,14,1,2,2015,1,17-Feb-15
,12,1,2,2015,1,09-Feb-15
,12,1,2,2015,1,17-Feb-15
,14,1,2,2015,1,11-Feb-15
,17,1,2,2015,1,17-Feb-15
,16,1,2,2015,1,15-Feb-15
,18,1,2,2015,1,15-Feb-15
,22,1,2,2015,1,17-Feb-15
,17,1,2,2015,1,13-Feb-15
,13,1,2,2015,1,11-Feb-15
,10,1,2,2015,1,16-Feb-15
,12,1,2,2015,1,16-Feb-15
,30,1,2,2015,1,11-Feb-15
,16,1,2,2015,1,17-Feb-15
,34,1,2,2015,1,11-Feb-15
,16,1,2,2015,1,19-Feb-15
,18,1,2,2015,1,17-Feb-15
,23,1,2,2015,1,17-Feb-15
,17,1,2,2015,1,13-Feb-15
,15,1,2,2015,1,11-Feb-15
,16,1,2,2015,1,11-Feb-15
,18,1,2,2015,1,11-Feb-15
,13,1,2,2015,1,11-Feb-15
,25,1,2,2015,1,11-Feb-15
,50,1,2,2015,1,11-Feb-15
,15,1,2,2015,1,10-Feb-15
,14,1,2,2015,1,16-Feb-15
,21,1,2,2015,1,18-Feb-15
,14,1,2,2015,1,17-Feb-15
,12,1,2,2015,1,16-Feb-15
,19,1,2,2015,1,16-Feb-15
,28,1,11,2014,1,13-Nov-14
,16,1,11,2014,1,13-Nov-14
,35,1,11,2014,1,12-Nov-14
,25,1,11,2014,1,12-Nov-14
,15,1,11,2014,1,14-Nov-14
,50,1,11,2014,1,11-Nov-14
,17,1,11,2014,1,14-Nov-14
,16,1,11,2014,1,11-Nov-14
,35,1,11,2014,1,11-Nov-14
,17,1,11,2014,1,13-Nov-14
,23,1,11,2014,1,13-Nov-14
,21,1,11,2014,1,13-Nov-14
,17,1,11,2014,1,11-Nov-14
,20,1,11,2014,1,11-Nov-14
,19,1,11,2014,1,11-Nov-14
,21,1,10,2014,1,18oct2014
,14,1,10,2014,1,18oct2014
,22,1,10,2014,1,21oct2014
,23,1,10,2014,1,21oct2014
,26,1,10,2014,1,18oct2014
,23,1,10,2014,1,18oct2014
,21,1,10,2014,1,18oct2014
,11,1,10,2014,1,20oct2014
,13,1,10,2014,1,18oct2014
,19,1,10,2014,1,22oct2014
,25,1,10,2014,1,22oct2014
,23,1,11,2014,1,13-Nov-14
,31,1,11,2014,1,13-Nov-14
,42,1,11,2014,1,15-Nov-14
,40,1,11,2014,1,13-Nov-14
,22,1,11,2014,1,12-Nov-14
,53,1,11,2014,1,15-Nov-14
,12,1,11,2014,1,16-Nov-14
,21,1,11,2014,1,16-Nov-14
,24,1,11,2014,1,14-Nov-14
,82,1,11,2014,1,14-Nov-14
,21,1,11,2014,1,14-Nov-14
,21,1,11,2014,1,13-Nov-14
,46,1,11,2014,1,14-Nov-14
,45,1,11,2014,1,17-Nov-14
,23,1,11,2014,1,17-Nov-14
,61,1,11,2014,1,17-Nov-14
,20,1,11,2014,1,17-Nov-14
,12,1,11,2014,1,19-Nov-14
,32,1,11,2014,1,13-Nov-14
,43,1,11,2014,1,12-Nov-14
,35,1,11,2014,1,13-Nov-14
,24,1,11,2014,1,12-Nov-14
,74,1,11,2014,1,12-Nov-14
,17,1,10,2014,1,16oct2014
,15,1,10,2014,1,16oct2014
,17,1,10,2014,1,16oct2014
,19,1,11,2014,1,25-Nov-14
,27,1,11,2014,1,25-Nov-14
,16,1,11,2014,1,25-Nov-14
,12,1,11,2014,1,26-Nov-14
,19,1,11,2014,1,18-Nov-14
,25,1,11,2014,1,18-Nov-14
,16,1,11,2014,1,11-Nov-14
,29,1,11,2014,1,26-Nov-14
,71,1,10,2014,1,29oct2014
,48,1,10,2014,1,29oct2014
,21,1,1,2015,1,19-Jan-15
,15,1,10,2014,1,29oct2014
,19,1,10,2014,1,29oct2014
,21,1,10,2014,1,29oct2014
,23,1,10,2014,1,30oct2014
,12,1,10,2014,1,30oct2014
,25,1,10,2014,1,30oct2014
,41,1,10,2014,1,30oct2014
,13,1,11,2014,1,02-Nov-14
,12,1,11,2014,1,02-Nov-14
,41,1,10,2014,1,30oct2014
,21,1,10,2014,1,30oct2014
,25,1,10,2014,1,30oct2014
,30,1,10,2014,1,31oct2014
,12,1,10,2014,1,30oct2014
,42,1,10,2014,1,29oct2014
,32,1,10,2014,1,29oct2014
,45,1,10,2014,1,29oct2014
,18,1,10,2014,1,29oct2014
,25,1,10,2014,1,29oct2014
,21,1,10,2014,1,30oct2014
,17,1,10,2014,1,30oct2014
,40,1,10,2014,1,30oct2014
,17,1,10,2014,1,24oct2014
,15,1,10,2014,1,22oct2014
,16,1,10,2014,1,22oct2014
,20,1,10,2014,1,21oct2014
,16,1,10,2014,1,23oct2014
,12,1,10,2014,1,24oct2014
,21,1,10,2014,1,23oct2014
,18,1,10,2014,1,23oct2014
,13,1,10,2014,1,22oct2014
,18,1,10,2014,1,22oct2014
,18,1,10,2014,1,27oct2014
,31,1,10,2014,1,23oct2014
,12,1,10,2014,1,23oct2014
,19,1,10,2014,1,23oct2014
,32,1,10,2014,1,23oct2014
,28,1,10,2014,1,24oct2014
,16,1,10,2014,1,25oct2014
,35,1,10,2014,1,26oct2014
,12,1,10,2014,1,24oct2014
,16,1,10,2014,1,24oct2014
,33,1,10,2014,1,24oct2014
,23,1,10,2014,1,24oct2014
,22,1,10,2014,1,24oct2014
,15,1,10,2014,1,28oct2014
,20,1,10,2014,1,28oct2014
,24,1,10,2014,1,26oct2014
,36,1,10,2014,1,25oct2014
,17,1,10,2014,1,21oct2014
,26,1,10,2014,1,22oct2014
,30,1,10,2014,1,21oct2014
,21,1,10,2014,1,21oct2014
,18,1,10,2014,1,21oct2014
,24,1,10,2014,1,24oct2014
,19,1,10,2014,1,23oct2014
,14,1,10,2014,1,24oct2014
,19,1,10,2014,1,22oct2014
,19,1,10,2014,1,22oct2014
,15,1,10,2014,1,22oct2014
,11,1,10,2014,1,24oct2014
,22,1,10,2014,1,22oct2014
,19,1,10,2014,1,22oct2014
,16,1,10,2014,1,22oct2014
,27,1,10,2014,1,24oct2014
,17,1,10,2014,1,24oct2014
,16,1,10,2014,1,23oct2014
,31,1,11,2014,1,17-Nov-14
,32,1,11,2014,1,18-Nov-14
,24,1,11,2014,1,17-Nov-14
,21,1,11,2014,1,17-Nov-14
,25,1,11,2014,1,17-Nov-14
,24,1,11,2014,1,18-Nov-14
,28,1,11,2014,1,17-Nov-14
,28,1,11,2014,1,18-Nov-14
,27,1,11,2014,1,17-Nov-14
,21,1,11,2014,1,18-Nov-14
,22,1,11,2014,1,18-Nov-14
,31,1,11,2014,1,18-Nov-14
,35,1,11,2014,1,19-Nov-14
,53,1,11,2014,1,21-Nov-14
,20,1,11,2014,1,24-Nov-14
,19,1,11,2014,1,24-Nov-14
,47,1,11,2014,1,17-Nov-14
,49,1,11,2014,1,04-Nov-14
,32,1,10,2014,1,31oct2014
,31,1,11,2014,1,04-Nov-14
,23,1,11,2014,1,04-Nov-14
,30,1,11,2014,1,03-Nov-14
,36,1,11,2014,1,07-Nov-14
,16,1,11,2014,1,07-Nov-14
,24,1,11,2014,1,03-Nov-14
,43,1,11,2014,1,04-Nov-14
,39,1,11,2014,1,04-Nov-14
,28,1,11,2014,1,03-Nov-14
,30,1,11,2014,1,03-Nov-14
,30,1,10,2014,1,31oct2014
,21,1,10,2014,1,31oct2014
,22,1,10,2014,1,31oct2014
,23,1,10,2014,1,31oct2014
,30,1,11,2014,1,04-Nov-14
,35,1,11,2014,1,18-Nov-14
,30,1,11,2014,1,18-Nov-14
,24,1,11,2014,1,18-Nov-14
