ID,t011_prgrm,pass_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,VHG,1,,,,,1,,2,3,,245.5,1,1,3,2014
,RNG,0,0,,,,,,,,,,,1,4,2014
,BSA2,0,,1,,,1,,3,3,,8.25,,1,8,2014
,BSA2,0,,1,,,1,,3,3,,3,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,27.5,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,,25,1,1,8,2014
,BSA2,0,0,,,,,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,1,,1,3,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,1,,3,3,,3.25,,1,8,2014
,AMG,0,,,,,0,,,,,,,1,2,2015
,AMG,1,,,1,1,1,,3,3,,50,1,1,2,2015
,AMG,1,,,,,1,,2,3,,22.5,1,1,2,2015
,AMG,0,,,,,0,,,,,,,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,AMG,1,,1,,,1,,3,3,,13,1,1,2,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,1,,1,,,1,,2,3,,11.33333333,1,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,AMG,0,,,,,0,,,,,,,1,2,2015
,AMG,1,,1,,,1,,2,3,,17.16666667,1,1,2,2015
,RNG,0,,,,,0,,,,,,,1,3,2014
,RNG,0,,,,,1,,3,3,,8.5,,1,3,2014
,RNG,1,,1,,,1,,3,3,,12,1,1,3,2014
,RNG,0,,0,,,,,,,,,,1,3,2014
,MGR,0,,,1,1,1,,1,3,,,,1,9,2014
,MGR,0,,,1,1,1,,1,3,,,,1,9,2014
,MGR,0,,1,,,1,,2,3,,8.5,,1,9,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,,,,1,,3,3,,35,1,1,8,2014
,BSA2,0,,,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,10.33333333,1,1,8,2014
,BSA2,0,,,,,0,,,,,,,1,8,2014
,SYA,1,,,1,1,1,,3,2,,,1,1,7,2013
,SYA,0,,,,,0,,,,,,,1,7,2013
,SYA,1,,,0,,1,,3,3,,,1,1,7,2013
,RNG,0,1,,,,0,,,,,,,1,9,2014
,RNG,0,0,,,,,,,,,,,1,9,2014
,RNG,0,0,,,,,,,,,,,1,9,2014
,RNG,0,,1,,,1,,3,3,,5,,1,9,2014
,RNG,1,,1,,,1,,3,3,,10.5,1,1,9,2014
,RNG,1,,,1,1,1,,3,3,,125,1,1,9,2014
,RNG,0,,1,,,1,,3,3,,9,,1,3,2014
,RNG,0,,,,,1,,3,3,,9,,1,3,2014
,RNG,0,,1,,,1,,2,3,,9,,1,3,2014
,RNG,1,,1,,,1,,3,3,,10,1,1,3,2014
,RNG,1,,,,,1,,2,3,,20,1,1,3,2014
,MGR,0,,1,,,1,0,,,,10.5,0,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,1,,,1,1,1,,3,3,,26.66666667,1,1,9,2014
,SYA,0,,,,,,,,,,,,1,7,2013
,SYA,0,,,1,1,0,,,,,,,1,7,2013
,SYA,0,,,,,1,,3,3,,,,1,7,2013
,SYA,0,,,,,,,,,,,,1,7,2013
,SYA,0,,1,,,1,,3,3,,,,1,7,2013
,SYA,0,,1,,,1,,3,3,,,,1,7,2013
,SYA,0,,,,,1,,3,3,,,,1,7,2013
,SYA,0,,,,,,,,,,,,1,7,2013
,SYA,1,,,1,1,1,,3,3,,,1,1,7,2013
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,SYA,1,,1,,,1,,3,3,,,1,1,7,2013
,SYA,0,,1,,,1,,3,3,,,,1,7,2013
,SYA,0,,,,,,,,,,,,1,7,2013
,SYA,1,,,0,,1,,2,3,,,1,1,7,2013
,AMG,0,,1,,,0,,,,,,,1,3,2015
,AMG,1,,1,,,1,,2,3,,13.5,1,1,3,2015
,AMG,1,1,,,,1,,3,3,,20,1,1,3,2015
,AMG,1,,1,,,1,,3,2,,32.5,1,1,2,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,1,,1,,,1,,3,2,,37.5,1,1,2,2015
,RNG,0,,1,,,1,,2,3,,8.333333333,,1,4,2014
,RNG,0,,,,,0,,,,,,,1,9,2014
,RNG,0,,1,,,1,,2,2,,5.25,,1,9,2014
,RNG,0,,1,,,1,,3,2,8,,,1,9,2014
,RNG,0,,1,,,1,,2,3,,8.666666667,,1,4,2014
,MGR,0,,1,,,1,,2,3,,3.75,,1,4,2014
,MGR,0,,1,,,1,,2,3,,5.5,,1,4,2014
,MGR,0,,1,,,0,,,,,,,1,4,2014
,MGR,0,,,,,1,,2,3,,5,,1,4,2014
,MGR,0,,1,,,0,,,,,,,1,3,2014
,MGR,0,,1,,,0,,,,,,,1,3,2014
,MGR,0,,1,,,0,,,,,,,1,3,2014
,MGR,0,,1,,,1,,3,3,,7,,1,3,2014
,MGR,1,,1,,,1,,2,3,,18,1,1,3,2014
,MGR,0,,1,,,0,,,,,,,1,3,2014
,BSA2,1,,1,,,1,,2,3,,13,1,1,8,2014
,BSA2,0,,1,,,1,,3,3,,5,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,14,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,10,11.66666667,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,,20,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,2,3,,10,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,,14,1,1,8,2014
,AMG,1,1,1,,,1,,3,3,,10.5,1,1,2,2015
,AMG,1,,,,,1,,3,3,,10,1,1,2,2015
,AMG,1,,1,,,1,,3,3,,32.5,1,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,BSA2,1,,1,,,1,,3,3,,27,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,50,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,2,2,,70,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,14,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,20,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,30,1,1,8,2014
,BSA2,1,,,1,1,1,,3,3,,200,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,20,1,1,8,2014
,BSA2,0,,1,,,1,,3,3,,3,,1,8,2014
,BSA2,0,,0,,,,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,10,1,1,8,2014
,RNG,0,,,,,0,,,,,,,1,4,2014
,RNG,1,,,,,1,,2,3,,43.33333333,1,1,4,2014
,RNG,0,,,,,0,,,,,,,1,4,2014
,AMG,1,,1,,,1,,3,3,11,14.58333333,1,1,3,2015
,AMG,0,1,1,,,1,,1,2,,,,1,3,2015
,AMG,0,,1,,,1,,1,3,,,,1,3,2015
,AMG,1,,1,,,1,,3,3,,20,1,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,SYA,0,,,,,,,,,,,,1,7,2013
,SYA,1,,,1,1,1,,3,3,,,1,1,7,2013
,SYA,1,,1,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,1,1,1,,2,2,,,1,1,7,2013
,SYA,1,,,1,1,1,,2,2,10,,1,1,7,2013
,MGR,0,,1,,,0,,,,,,,1,9,2014
,MGR,0,,,,,0,,,,,,,1,9,2014
,MGR,0,,1,,,1,,1,3,,,,1,9,2014
,MGR,0,,1,,,1,,1,3,,,,1,9,2014
,MGR,1,,1,,,1,,3,3,,12.5,1,1,9,2014
,AMG,1,,,0,,1,,3,3,,26.66666667,1,1,2,2015
,AMG,0,,,,,0,,,,,,,1,2,2015
,AMG,1,,,0,,1,,2,3,10,21.16666667,1,1,2,2015
,AMG,0,,,,,0,,,,,,,1,2,2015
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,0,,1,,,0,,1,1,,7.5,,1,3,2014
,RNG,0,,,,,1,,1,2,,,,1,9,2014
,UJA,0,,,,,,,3,3,,,,1,9,2012
,UJA,0,,1,,,,,1,1,4,,,1,9,2012
,UJA,0,,1,,,,,3,3,,,,1,9,2012
,SYA,0,,,,,1,,3,3,,,,1,7,2013
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,SYA,1,,,1,1,1,,3,3,,,1,1,7,2013
,SYA,1,,1,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,SYA,0,,1,,,1,,3,3,,,,1,7,2013
,RNG,1,,,,,1,,2,2,,10.5,1,1,3,2014
,BSA4,0,,1,,,1,,3,3,,4.5,,1,4,2015
,BSA4,0,,1,,,1,,3,3,,6,,1,4,2015
,BSA4,0,,1,,,1,,3,3,,5,,1,4,2015
,BSA2,1,,1,,,1,,2,3,,22.5,1,1,8,2014
,BSA2,0,,1,,,1,,1,2,,,,1,8,2014
,BSA2,0,0,,,,,,,,,,,1,8,2014
,BSA2,0,,1,,,1,,1,2,,,,1,8,2014
,BSA2,0,0,,,,,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,1,,3,3,,2,,1,9,2014
,BSA2,1,,1,,,1,,3,3,11,10.91666667,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,0,,,,,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,34.16666667,1,1,8,2014
,BSA2,0,1,1,,,0,,,,,,,1,8,2014
,BSA2,1,,,,,1,,2,2,,55,1,1,9,2014
,BSA2,0,,,,,1,,3,3,8,,,1,8,2014
,BSA2,1,,,,,1,,3,3,,11.66666667,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,,10,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,1,1,,,1,,3,3,10,13.33333333,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,30,1,1,8,2014
,BSA2,0,0,,,,,,,,,,,1,9,2014
,BSA2,0,,1,,,1,,1,2,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,21.66666667,1,1,8,2014
,BSA2,0,1,,,,1,,2,3,9,8.5,,1,9,2014
,BSA2,1,,1,,,1,,3,3,,13,1,1,9,2014
,BSA2,1,,1,,,1,,2,3,,42.5,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,,55,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,12,1,1,9,2014
,BSA2,0,,,,,0,,,,,,,1,9,2014
,BSA2,0,,1,,,0,,,,,,,1,9,2014
,BSA2,1,,1,,,1,,2,3,,22.5,1,1,8,2014
,BSA2,1,,1,,,1,,3,3,,12.5,1,1,8,2014
,BSA2,0,0,,,,,,,,,,,1,9,2014
,BSA2,1,,1,,,1,,2,2,,50,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,1,,3,3,,7.75,,1,8,2014
,BSA2,0,,1,,,1,,3,3,,9.75,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,22.5,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,11.25,1,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,8,2014
,BSA2,1,,1,,,1,,3,3,,11.5,1,1,8,2014
,BSA2,0,,,,,0,,,,,,,1,8,2014
,BSA2,0,,,,,0,,,,,,,1,10,2014
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,0,,1,,,0,,,,,,,1,3,2015
,AMG,1,,,0,,1,,3,3,,30,1,1,3,2015
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,AMG,0,,1,,,0,,,,,,,1,3,2015
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,1,,1,,,1,,3,3,,20,1,1,2,2015
,AMG,0,,,,,0,,,,,,,1,2,2015
,AMG,0,,,,,1,,3,3,,9,,1,2,2015
,AMG,1,,1,,,1,,2,2,,21.25,1,1,2,2015
,AMG,0,0,,,,,,,,,,,1,2,2015
,AMG,1,,,0,,1,,3,3,,40,1,1,2,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,1,,1,,,1,,2,2,,10.75,1,1,2,2015
,AMG,0,,0,,,,,,,,,,1,2,2015
,AMG,0,,1,,,0,,,,,,,1,2,2015
,AMG,0,,1,,,1,,1,3,,,,1,2,2015
,AMG,1,,1,,,1,,2,3,,13.33333333,1,1,3,2015
,AMG,1,,1,,,1,,2,3,,15,1,1,3,2015
,AMG,0,,1,,,1,,3,3,,9,,1,3,2015
,AMG,1,,1,,,1,,2,3,,12,1,1,3,2015
,AMG,1,,1,,,1,,2,3,,10,1,1,3,2015
,AMG,1,,1,,,1,,2,3,,40,1,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,AMG,1,1,1,,,1,,2,3,,33.33333333,1,1,3,2015
,AMG,1,1,1,,,1,,3,3,,46.66666667,1,1,3,2015
,RNG,1,,1,,,1,,2,2,,13,1,1,3,2014
,RNG,1,,,,,1,,2,3,,10.5,1,1,3,2014
,RNG,0,,1,,,0,1,,,,9.25,,1,3,2014
,RNG,0,,1,,,0,1,,,,9.75,,1,3,2014
,RNG,0,0,,,,,,,,,,,1,3,2014
,RNG,1,,1,,,1,,2,2,,11.5,1,1,3,2014
,RNG,1,,,,,1,1,,,,10.5,1,1,3,2014
,UJA,1,,,,,1,,3,3,,21.75,1,1,10,2014
,HMB3,0,0,,,,,,,,,,,1,10,2015
,HMB3,0,,,,,0,,,,,,,1,10,2015
,UJA,0,,1,,,,,3,3,,,,1,9,2012
,UJA,0,,1,,,,,2,3,,,,1,9,2012
,HMB3,0,0,,,,,,,,,,,1,10,2015
,HMB3,0,,,,,0,,,,,,,1,10,2015
,HMB3,0,,,,,1,,3,3,,5,,1,10,2015
,HMB3,0,,,,,1,,3,3,,6,,1,10,2015
,UJA,0,,1,,,,,3,3,,,,1,9,2012
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,AMG,0,,1,,,1,,3,3,,6,,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,MGR,1,,1,,,1,,3,3,,21.25,1,1,3,2014
,MGR,1,,,,,1,,3,3,,13.25,1,1,3,2014
,MGR,0,,,,,1,,2,3,,4.25,,1,3,2014
,MGR,1,,,,,1,,3,3,,12.5,1,1,3,2014
,MGR,1,,,1,1,1,,3,3,,25,1,1,3,2014
,MGR,0,,,,,1,,3,3,,5,,1,3,2014
,MGR,1,,1,,,1,,3,3,,18.75,1,1,3,2014
,SYA,1,,,1,1,1,,3,3,,,1,1,6,2013
,SYA,0,,1,,,0,,,,,,,1,6,2013
,SYA,1,,1,,,1,,2,2,,,1,1,6,2013
,SYA,1,,,1,1,1,,3,3,,,1,1,6,2013
,SYA,1,,1,,,1,,3,3,,,1,1,6,2013
,SYA,1,,,,,1,,1,2,,,1,1,6,2013
,SYA,1,,,,,1,,3,3,10,11.66666667,1,1,9,2014
,SYA,1,,1,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,0,,1,,1,3,,,1,1,7,2013
,AMG,1,,,,,1,,3,3,,15,1,1,3,2015
,AMG,0,,,,,0,,,,,,,1,3,2015
,AMG,1,,,,,1,,3,3,,30,1,1,3,2015
,AMG,0,,1,,,0,,,,,,,1,3,2015
,AMG,1,,1,,,1,,3,3,,92.5,1,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,RNG,1,,,,,1,,2,3,,11.25,1,1,9,2014
,RNG,1,,1,,,1,,3,3,,12,1,1,9,2014
,RNG,0,,,,,0,,,,,,,1,9,2014
,RNG,0,,,,,1,,1,3,,,,1,9,2014
,RNG,1,,,,,1,,2,3,,11,1,1,9,2014
,RNG,0,,,,,0,,,,,,,1,9,2014
,SYA,0,,,,,1,,3,3,12,,,1,7,2013
,SYA,1,,,,,1,,2,3,11,,1,1,7,2013
,SYA,1,,,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,,,1,,1,2,,,1,1,8,2013
,SYA,1,,1,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,1,1,1,,2,2,,,1,1,7,2013
,SYA,1,,,0,,1,,2,2,,,1,1,7,2013
,SYA,0,,,,,,,,,,,,1,7,2013
,SYA,1,,1,,,1,,2,2,,,1,1,7,2013
,SYA,1,,,1,1,1,,1,2,,,1,1,8,2013
,SYA,1,,1,,,1,,2,2,,,1,1,7,2013
,SYA,1,,,1,1,1,,2,2,,,1,1,7,2013
,SYA,0,,,,,,,,,,,,1,7,2013
,MGR,0,,,0,,1,,1,3,,,,1,4,2014
,MGR,0,,1,,,1,,2,3,8,,,1,4,2014
,RNG,0,,1,,,1,,2,1,,,,1,7,2014
,RNG,0,,,,,1,,2,1,,,,1,7,2014
,RNG,0,,,,,1,,2,1,,,,1,7,2014
,RNG,0,,,,,1,,2,1,,,,1,7,2014
,RNG,0,,,,,1,,2,1,,,,1,7,2014
,RNG,0,,1,,,0,,,,,,,1,7,2014
,BSA2,0,,1,,,1,,2,3,8,,,1,8,2014
,BSA2,1,,1,,,1,,2,3,,18,1,1,8,2014
,BSA2,1,,1,,,1,,2,3,,18,1,1,8,2014
,AMG,0,1,,1,1,0,,,,,,,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,AMG,0,0,,,,,,,,,,,1,3,2015
,SYA,1,,1,,,1,,2,2,,,1,1,7,2013
,SYA,1,,1,,,1,,2,2,,,1,1,7,2013
,SYA,1,,1,,,1,,2,2,,,1,1,7,2013
,SYA,1,,,,,1,,2,2,,,1,1,7,2013
,SYA,0,,,,,0,,,,,,,1,7,2013
,SYA,1,,,,,1,,3,3,,,1,1,7,2013
,MGR,1,,1,,,1,,2,3,,16.25,1,1,9,2014
,SYA,1,,1,,,1,,2,3,,,1,1,7,2013
,SYA,1,,,,,1,,3,3,,,1,1,7,2013
,MGR,1,,1,,,1,,2,3,10,16.33333333,1,1,9,2014
,MGR,0,,1,,,1,,2,3,9,8,,1,9,2014
,MGR,1,,1,,,1,,2,3,,15,1,1,9,2014
,MGR,0,,1,,,1,,2,3,8,,,1,9,2014
,SYA,1,,,1,1,1,,3,3,,,1,1,7,2013
,MGR,1,,1,,,1,,3,3,,15.75,1,1,9,2014
,MGR,0,,1,,,1,,3,3,,5.25,,1,9,2014
,SYA,1,,,,,1,,3,3,,,1,1,7,2013
,SYA,1,,1,,,1,,3,3,,,1,1,8,2013
,SYA,0,,,,,1,,2,3,,,,1,7,2013
,SYA,1,,,1,1,1,,2,3,,,1,1,7,2013
,SYA,1,,1,,,1,,2,3,,,1,1,7,2013
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,SYA,0,,1,,,0,,,,,,,1,7,2013
,SYA,0,,1,,,1,,2,3,,,,1,7,2013
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,MGR,1,,,,,1,,2,3,,29.75,1,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,0,,,,,0,,1,2,,9.75,,1,3,2014
,MGR,1,,1,,,1,,2,3,,16.25,1,1,3,2014
,MGR,0,1,,,,0,,,,,,,1,3,2014
,MGR,0,,,,,0,,1,1,,5.75,,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,SYA,1,,,1,1,1,,3,2,,,1,1,7,2013
,SYA,1,,1,,,1,,3,3,,,1,1,7,2013
,SYA,1,,,1,1,1,,3,3,,,1,1,7,2013
,SYA,1,,,,,1,,3,3,,,1,1,7,2013
,SYA,1,,1,,,1,,2,3,,,1,1,7,2013
,SYA,0,,1,,,1,,3,3,,3,,1,8,2014
,SYA,0,,,,,1,,3,3,,3.083333333,,1,8,2014
,SYA,0,,,,,1,,3,3,,4,,1,8,2014
,SYA,1,,,,,1,,2,3,,,1,1,7,2013
,UGS,0,,,1,1,0,,,,,,,1,5,2015
,UGS,0,,1,,,1,,3,3,,7,,1,9,2014
